"country","sftgcode","year","d.polity","d.jay","d.fh","d.mbr","d.ddr"
"Afghanistan","AFG",1945,0,NA,NA,0,NA
"Afghanistan","AFG",1946,0,NA,NA,0,0
"Afghanistan","AFG",1947,0,NA,NA,0,0
"Afghanistan","AFG",1948,0,NA,NA,0,0
"Afghanistan","AFG",1949,0,NA,NA,0,0
"Afghanistan","AFG",1950,0,NA,NA,0,0
"Afghanistan","AFG",1951,0,NA,NA,0,0
"Afghanistan","AFG",1952,0,NA,NA,0,0
"Afghanistan","AFG",1953,0,NA,NA,0,0
"Afghanistan","AFG",1954,0,NA,NA,0,0
"Afghanistan","AFG",1955,0,0,NA,0,0
"Afghanistan","AFG",1956,0,0,NA,0,0
"Afghanistan","AFG",1957,0,0,NA,0,0
"Afghanistan","AFG",1958,0,0,NA,0,0
"Afghanistan","AFG",1959,0,0,NA,0,0
"Afghanistan","AFG",1960,0,0,NA,0,0
"Afghanistan","AFG",1961,0,0,NA,0,0
"Afghanistan","AFG",1962,0,0,NA,0,0
"Afghanistan","AFG",1963,0,0,NA,0,0
"Afghanistan","AFG",1964,0,0,NA,0,0
"Afghanistan","AFG",1965,0,0,NA,0,0
"Afghanistan","AFG",1966,0,0,NA,0,0
"Afghanistan","AFG",1967,0,0,NA,0,0
"Afghanistan","AFG",1968,0,0,NA,0,0
"Afghanistan","AFG",1969,0,0,NA,0,0
"Afghanistan","AFG",1970,0,0,NA,0,0
"Afghanistan","AFG",1971,0,0,NA,0,0
"Afghanistan","AFG",1972,0,0,NA,0,0
"Afghanistan","AFG",1973,0,0,NA,0,0
"Afghanistan","AFG",1974,0,0,NA,0,0
"Afghanistan","AFG",1975,0,0,NA,0,0
"Afghanistan","AFG",1976,0,0,NA,0,0
"Afghanistan","AFG",1977,0,0,NA,0,0
"Afghanistan","AFG",1978,0,0,NA,0,0
"Afghanistan","AFG",1979,0,0,NA,0,0
"Afghanistan","AFG",1980,0,0,NA,0,0
"Afghanistan","AFG",1981,0,0,NA,0,0
"Afghanistan","AFG",1982,0,0,NA,0,0
"Afghanistan","AFG",1983,0,0,NA,0,0
"Afghanistan","AFG",1984,0,0,NA,0,0
"Afghanistan","AFG",1985,0,0,NA,0,0
"Afghanistan","AFG",1986,0,0,NA,0,0
"Afghanistan","AFG",1987,0,0,NA,0,0
"Afghanistan","AFG",1988,0,0,NA,0,0
"Afghanistan","AFG",1989,0,0,0,0,0
"Afghanistan","AFG",1990,0,0,0,0,0
"Afghanistan","AFG",1991,0,0,0,0,0
"Afghanistan","AFG",1992,0,0,0,0,0
"Afghanistan","AFG",1993,0,0,0,0,0
"Afghanistan","AFG",1994,0,0,0,0,0
"Afghanistan","AFG",1995,0,0,0,0,0
"Afghanistan","AFG",1996,0,0,0,0,0
"Afghanistan","AFG",1997,0,0,0,0,0
"Afghanistan","AFG",1998,0,0,0,0,0
"Afghanistan","AFG",1999,0,0,0,0,0
"Afghanistan","AFG",2000,0,0,0,0,0
"Afghanistan","AFG",2001,0,0,0,NA,0
"Afghanistan","AFG",2002,0,0,0,NA,0
"Afghanistan","AFG",2003,0,0,0,NA,0
"Afghanistan","AFG",2004,0,0,0,NA,0
"Afghanistan","AFG",2005,0,0,0,NA,0
"Afghanistan","AFG",2006,0,0,0,NA,0
"Afghanistan","AFG",2007,0,0,0,NA,0
"Afghanistan","AFG",2008,0,0,0,NA,0
"Afghanistan","AFG",2009,0,0,0,NA,NA
"Afghanistan","AFG",2010,0,0,0,NA,NA
"Afghanistan","AFG",2011,0,NA,NA,NA,NA
"Afghanistan","AFG",2012,0,NA,NA,NA,NA
"Afghanistan","AFG",2013,0,NA,NA,NA,NA
