"sftgcode","year","cnsimr","xxxcimr","xxxcimrln"
"AFG",1960,195.7,1.993,0.689641041230658
"AFG",1961,195,1.652,0.501986675098786
"AFG",1962,194.4,1.678,0.517602608045014
"AFG",1963,193.7,1.775,0.573800422927379
"AFG",1964,193.1,1.792,0.583332314552739
"AFG",1965,192.4,1.731,0.548699276194072
"AFG",1966,191.7,1.818,0.597736995755287
"AFG",1967,191.1,1.917,0.650761464063507
"AFG",1968,190.4,1.903,0.643431588314012
"AFG",1969,189.8,1.899,0.641327431830149
"AFG",1970,189.1,1.956,0.670901571612626
"AFG",1971,188.4,2.025,0.705569700558502
"AFG",1972,187.8,2.124,0.753301103379692
"AFG",1973,187.1,2.188,0.782987884559735
"AFG",1974,186.4,2.258,0.81447946572747
"AFG",1975,185.7,2.298,0.832039179426564
"AFG",1976,185,2.22,0.797507195884188
"AFG",1977,184.3,2.273,0.821100544870406
"AFG",1978,187.9,2.479,0.907855253053053
"AFG",1979,191.5,2.639,0.970400057521187
"AFG",1980,191.2,2.792,1.02675818490013
"AFG",1981,190.9,2.947,1.08078770375556
"AFG",1982,190.7,3.116,1.1365501280085
"AFG",1983,190.4,3.238,1.17495585525544
"AFG",1984,187.3,3.289,1.19058356720692
"AFG",1985,184.2,3.311,1.19725025856511
"AFG",1986,181.1,3.425,1.23110147171419
"AFG",1987,178.1,3.462,1.24184645675402
"AFG",1988,174.6,3.505,1.25419052048655
"AFG",1989,171.1,3.662,1.29800944625232
"AFG",1990,167.7,3.727,1.31560362049712
"AFG",1991,164.4,3.69,1.30562645805244
"AFG",1992,162.5,3.93,1.36863942588117
"AFG",1993,160.5,3.938,1.37067298021693
"AFG",1994,158.6,3.971,1.37901795214911
"AFG",1995,156.8,4.04,1.39624469197306
"AFG",1996,154.9,4.08,1.40609698841607
"AFG",1997,152.8,4.295,1.45745155543622
"AFG",1998,150.8,4.468,1.49694088120695
"AFG",1999,148.8,4.568,1.51907547235371
"AFG",2000,146.8,4.553,1.51578635635265
"AFG",2001,144.8,4.73,1.55392520250384
"AFG",2002,143,4.857,1.58042096336361
"AFG",2003,141.3,4.996,1.60863759226333
"AFG",2004,139.6,5.087,1.62668826584063
"AFG",2005,137.3,5.138,1.63666389868769
"AFG",2006,135,5.421,1.6902803002782
"AFG",2007,132.7,5.401,1.68658412161075
"AFG",2008,130.5,5.387,1.6839886436984
"AFG",2009,128.3,5.478,1.70074007084089
"AFG",2010,126.2,5.569,1.71721550460753
"AFG",2011,123.9,5.644,1.73059303399057
"AFG",2012,121.6,5.745,1.74832991130072
"AFG",2013,119.4,5.855,1.76729599704968
"AFG",2014,NA,5.855,1.76729599704968
"ALB",1960,123.8,1.261,0.231905056982782
"ALB",1961,120.3,1.019,0.0188217542405877
"ALB",1962,141.5,1.221,0.199670195128568
"ALB",1963,141.2,1.294,0.257738196078709
"ALB",1964,128.8,1.196,0.17898265552844
"ALB",1965,139.2,1.252,0.224742272677907
"ALB",1966,144.9,1.374,0.317726193800158
"ALB",1967,150.7,1.511,0.412771683290602
"ALB",1968,156.4,1.563,0.44660705143934
"ALB",1969,162.2,1.623,0.484276288532454
"ALB",1970,167.9,1.737,0.552159487258968
"ALB",1971,163,1.751,0.560187053303715
"ALB",1972,143.6,1.624,0.484892241739486
"ALB",1973,138.6,1.621,0.483043242753539
"ALB",1974,133.6,1.619,0.481808674695498
"ALB",1975,128.6,1.592,0.464991087422191
"ALB",1976,131.7,1.58,0.457424847038875
"ALB",1977,126.5,1.56,0.444685821261446
"ALB",1978,113.7,1.499,0.404798219120461
"ALB",1979,120.2,1.657,0.505008738444426
"ALB",1980,100.6,1.47,0.385262400790645
"ALB",1981,99.3,1.532,0.4265740713184
"ALB",1982,82.1,1.342,0.29416103854949
"ALB",1983,82.7,1.405,0.340037302785709
"ALB",1984,65.7,1.154,0.143234168085908
"ALB",1985,61.7,1.11,0.104360015324243
"ALB",1986,66.6,1.259,0.23031775506221
"ALB",1987,59.1,1.149,0.138891998866619
"ALB",1988,54.9,1.101,0.0962188577405429
"ALB",1989,46.8,1.001,0.000999500333083423
"ALB",1990,44.3,0.984,-0.0161293819298836
"ALB",1991,50.7,1.137,0.128393214768399
"ALB",1992,53.2,1.287,0.25231392861399
"ALB",1993,54.3,1.332,0.286681572118197
"ALB",1994,60.3,1.509,0.411447179785712
"ALB",1995,50.5,1.302,0.263901543786378
"ALB",1996,43.3,1.139,0.130150684465045
"ALB",1997,38.2,1.074,0.071389996086673
"ALB",1998,27.9,0.827,-0.189950583958446
"ALB",1999,22.6,0.694,-0.365283318475333
"ALB",2000,22.6,0.702,-0.353821874956326
"ALB",2001,23.9,0.78,-0.2484613592985
"ALB",2002,18.8,0.637,-0.450985623409974
