"","expert","mean","se","value"
"1","d.polity",0.942076523340563,0.0848018556023447,"bias"
"2","d.jay",0.0918423125628453,0.0739283241774923,"bias"
"3","d.fh",0.213255591325873,0.0731449727254451,"bias"
"4","d.mbr",-0.530619944749576,0.0583809088494367,"bias"
"5","d.ddr",-0.423910309484282,0.0620361376049715,"bias"
"6","d.polity",1.09929078403809,0.0731444051511883,"variance"
"7","d.jay",1.24267885455224,0.0587545499401266,"variance"
"8","d.fh",0.707816708601521,0.0759951256842399,"variance"
"9","d.mbr",0.00728266228884349,0.00741478710445007,"variance"
"10","d.ddr",0.759265868160137,0.0478643251782942,"variance"
