country,year,mean,se
AFG,1945,-8.376987539219696,4.172772891761183
AFG,1946,-8.570222218184792,4.023184465764453
AFG,1947,-8.511059013874636,3.7030827751396003
AFG,1948,-8.848224662557552,3.525526475775668
AFG,1949,-9.125779542174852,3.410836848413112
AFG,1950,-9.189810439230257,2.772386977259464
AFG,1951,-9.237757433523326,2.4590696988803202
AFG,1952,-9.23232972688884,2.9555708415571167
AFG,1953,-9.121122773480026,2.7385706526874936
AFG,1954,-9.304406530245052,2.257605075777627
AFG,1955,-9.643865463189888,1.9716063897375593
AFG,1956,-10.091635325727026,2.447141303869776
AFG,1957,-10.114036925278043,2.4802872517408234
AFG,1958,-10.359855453066784,2.0636503524896836
AFG,1959,-10.547498775524874,2.4765544246763036
AFG,1960,-10.551366860350592,2.623084151068552
AFG,1961,-10.82025786194219,2.7090511886074076
AFG,1962,-10.944903392650655,2.9373782651967133
AFG,1963,-11.272995532350933,3.3219727060395883
AFG,1964,-11.674378993877584,3.4809446945999203
AFG,1965,-11.832503411074315,3.151429397658741
AFG,1966,-11.84347354100775,3.2837364065361716
AFG,1967,-12.294294693048064,3.1961981954028484
AFG,1968,-12.767489629928889,3.7213626850139643
AFG,1969,-13.080407858678214,3.59190403287836
AFG,1970,-13.331051324039116,3.572346127451102
AFG,1971,-13.58442706372851,3.710347329727639
AFG,1972,-14.225546578207068,3.8519854243058296
AFG,1973,-14.395250006366718,3.8473931267484014
AFG,1974,-14.44876429538628,3.5799658168539357
AFG,1975,-14.494571138920765,3.6369381975207657
AFG,1976,-14.030691859435727,3.20131877318421
AFG,1977,-14.085260923315477,3.0491129920540425
AFG,1978,-13.337246374998438,3.037126375789061
AFG,1979,-12.890255278719765,2.9717754318769614
AFG,1980,-12.547382974455878,3.000473892843786
AFG,1981,-12.36490728568271,3.207810619454889
AFG,1982,-12.215824244355927,2.7228604450945246
AFG,1983,-11.977087324349569,3.1025319139131615
AFG,1984,-12.065943142142189,3.0751278820172447
AFG,1985,-11.85617486445427,3.2717711692270663
AFG,1986,-11.640757291243272,3.6637038061763283
AFG,1987,-11.492763171668322,3.7848683004073065
AFG,1988,-11.532762112083757,3.551203559099544
AFG,1989,-11.521955907546758,3.6869546437901697
AFG,1990,-11.632601097224843,4.028922813382691
AFG,1991,-11.77434725296131,4.110621047099118
AFG,1992,-12.265297467992568,4.116745326156121
AFG,1993,-12.246719228728223,4.468485172053248
AFG,1994,-12.551049111850437,4.627140675919898
AFG,1995,-12.999341077916913,4.583496321528957
